Feature,Weight
Associate Data Scientist,0.0002165041686934
Associate Product Manager,0.000328716299595
Business Analyst,-0.0012946545488099
Chief Operating Officer,0.160854273883951
Chief Technology Officer,-0.2699563600409707
Content Strategist,-0.0034171023006502
Content Writer,-0.0045333898845055
Customer Success Manager,0.0002027949512918
Customer Support Specialist,0.0
Data Analyst,-0.0058685485836912
Data Scientist,-0.0009828234429873
Design Director,0.0527565466830347
DevOps Engineer,0.0
Director of HR,0.1728058935087936
Director of Operations,0.2548901272056055
Director of Product,-0.0986674336230879
Engineering Manager,-0.0621984028052009
Financial Analyst,-0.0193207808997454
Financial Planning Analyst,-0.0022869957517716
HR Business Partner,-0.0255638115471116
HR Coordinator,0.0
HR Manager,-0.0015023252610296
HR Specialist,-0.0114416208542671
Junior Data Analyst,0.0
Junior Data Scientist,0.0003252192950821
Junior Product Designer,0.0
Junior Software Engineer,0.0003245915324442
Junior UX Designer,0.0002112376881842
Lead Data Engineer,-0.0560320377669782
Lead Data Scientist,0.0
Lead DevOps Engineer,-0.0214104350820204
Lead Product Manager,-0.1142187258488281
Lead Software Developer,-0.0091971652066442
Lead Software Engineer,-0.017616020786218
Lead UX Designer,-0.1133964305275829
Marketing Coordinator,0.0
Marketing Manager,0.0
Marketing Specialist,-0.0029883290762215
Operations Analyst,-0.0053767422499504
Operations Coordinator,0.0003397672279004
Principal Engineer,0.2408195683302283
Principal Product Designer,-0.0424836530000104
Principal Product Manager,-0.1149681814984119
Principal Software Engineer,0.2344704638343035
Product Designer,-0.0089865842988121
Product Director,-0.1049643403795803
Product Lead,0.0
Product Manager,-0.0024689192569068
Product Marketing Manager,-0.0035417867257466
Project Manager,-0.0009004834662958
Sales Director,0.0
Sales Representative,-0.0388549087741906
Senior Account Executive,-0.020256299554319
Senior Account Manager,0.389714842361325
Senior Business Analyst,-0.0044197957971515
Senior Content Writer,-0.0020360960735291
Senior DevOps Engineer,-0.1373941090620618
Senior Financial Analyst,0.3102247332841835
Senior HR Manager,0.0
Senior Marketing Manager,0.0
Senior Marketing Specialist,0.0
Senior Product Manager,-0.0212449604600691
Senior Project Manager,0.0
Senior Sales Executive,-0.04730867438008
Senior Sales Manager,-0.0847411772964097
Senior Sales Representative,-0.0664909428755175
Senior Software Engineer,-0.0065959540929711
Senior UX Designer,-0.0087104844224076
Software Engineer,-0.0080168016229732
Staff Engineer,-0.1062796794730731
Systems Administrator,0.000155082130392
Technical Director,0.0
Technical Lead,0.0
Technical Writer,0.0005516878153909
UX Designer,-0.0110104895453363
UX Researcher,-0.0027367808271217
VP of Technology,-0.1177138410112785
