Feature,Weight
HR Manager,-0.0211398762279307
Lead Data Engineer,-0.0671819782488615
Lead Data Scientist,0.0
Lead DevOps Engineer,-0.034475805893365
Lead Software Developer,-0.0101362107096446
Lead Software Engineer,-0.0253278242033973
Lead UX Designer,-0.1380634415187306
Product Designer,-0.0041848359678078
Product Lead,0.3562907364757731
Product Marketing Manager,-0.007840431132397
Project Manager,-0.0046758530436632
Senior Account Executive,-0.0214516462059095
Senior Account Manager,0.3508990886920473
Senior Business Analyst,-0.0081867630973982
Senior Content Writer,-0.0036562703722824
Senior DevOps Engineer,0.0
Senior Financial Analyst,0.2180897768441679
Senior HR Manager,-0.1077807968330571
Senior Marketing Manager,-0.0199081625890026
Senior Marketing Specialist,-0.0019172404946952
Senior Product Manager,-0.0922207152952747
Senior Project Manager,0.0
Senior Sales Executive,0.0
Senior Sales Manager,-0.1022328918944835
Senior Sales Representative,-0.0699744523860323
Senior UX Designer,-0.0090624128661102
Staff Engineer,0.0
Technical Lead,-0.1751283912718288
