Employee_ID,Cluster_label,age
57,1,34
58,0,29
59,0,31
60,0,31
61,2,41
62,2,40
63,1,33
64,3,26
65,0,34
66,0,29
67,3,27
68,0,31
69,0,31
70,0,34
71,3,26
72,4,34
73,4,33
74,3,28
75,2,38
76,4,33
77,1,36
78,2,38
79,1,34
80,0,29
81,0,31
82,3,27
83,3,26
84,3,28
85,0,33
86,0,29
87,0,30
88,3,26
89,0,32
90,0,30
91,1,34
92,0,31
93,3,23
94,0,31
95,3,25
96,0,30
97,3,26
98,0,30
99,3,28
100,1,34
101,4,33
102,4,31
103,1,34
104,1,36
105,4,32
106,1,36
107,4,33
108,0,30
109,3,28
110,3,28
111,3,26
112,0,31
113,3,27
114,0,33
115,2,39
116,4,34
117,4,33
118,1,37
119,2,38
120,1,35
121,2,38
122,4,31
123,0,31
124,1,35
125,0,33
126,4,31
127,0,30
128,1,33
129,1,37
130,4,30
131,1,34
132,3,27
133,0,29
134,4,31
135,1,36
136,1,36
137,1,36
138,3,28
139,0,32
140,4,32
141,4,32
142,1,35
143,4,32
144,4,33
145,0,31
146,3,25
147,4,32
148,3,26
149,2,40
150,4,30
151,0,32
152,3,28
153,3,28
154,0,31
155,3,24
156,2,35
